-2129.3	2.4282e-08	NaN	93.253	7.9544e-10	NaN
-2129	2.4243e-08	NaN	93.241	7.9649e-10	NaN
-2128.8	2.4205e-08	NaN	93.23	7.9752e-10	NaN
-2128.5	2.4168e-08	NaN	93.218	7.9852e-10	NaN
-2128.2	2.4133e-08	NaN	93.207	7.995e-10	NaN
-2128	2.4099e-08	NaN	93.196	8.0046e-10	NaN
-2127.7	2.4066e-08	NaN	93.184	8.014e-10	NaN
-2127.5	2.4034e-08	NaN	93.173	8.0231e-10	NaN
-2127.2	2.4003e-08	NaN	93.161	8.0321e-10	NaN
-2126.9	2.3974e-08	NaN	93.15	8.0408e-10	NaN
-2126.7	2.3946e-08	NaN	93.139	8.0493e-10	NaN
-2126.4	2.3919e-08	NaN	93.127	8.0577e-10	NaN
-2126.1	2.3893e-08	NaN	93.116	8.0658e-10	NaN
-2125.9	2.3868e-08	NaN	93.104	8.0738e-10	NaN
-2125.6	2.3844e-08	NaN	93.093	8.0816e-10	NaN
-2125.4	2.3821e-08	NaN	93.082	8.0892e-10	NaN
-2125.1	2.3799e-08	NaN	93.07	8.0966e-10	NaN
-2124.8	2.3778e-08	NaN	93.059	8.1039e-10	NaN
-2124.6	2.3758e-08	NaN	93.047	8.111e-10	NaN
-2124.3	2.3739e-08	NaN	93.036	8.1179e-10	NaN
-2124	2.3721e-08	NaN	93.025	8.1247e-10	NaN
-2123.8	2.3704e-08	NaN	93.013	8.1313e-10	NaN
-2123.5	2.3688e-08	NaN	93.002	8.1378e-10	NaN
-2123.3	2.3672e-08	NaN	92.99	8.1441e-10	NaN
-2123	2.3657e-08	NaN	92.979	8.1503e-10	NaN
-2122.7	2.3643e-08	NaN	92.967	8.1563e-10	NaN
-2122.5	2.363e-08	NaN	92.956	8.1623e-10	NaN
-2122.2	2.3618e-08	NaN	92.945	8.168e-10	NaN
-2121.9	2.3606e-08	NaN	92.933	8.1737e-10	NaN
-2121.7	2.3595e-08	NaN	92.922	8.1793e-10	NaN
-2121.4	2.3585e-08	NaN	92.91	8.1847e-10	NaN
-2121.2	2.3575e-08	NaN	92.899	8.19e-10	NaN
-2120.9	2.3566e-08	NaN	92.888	8.1952e-10	NaN
-2120.6	2.3558e-08	NaN	92.876	8.2003e-10	NaN
-2120.4	2.355e-08	NaN	92.865	8.2054e-10	NaN
-2120.1	2.3542e-08	NaN	92.853	8.2103e-10	NaN
-2119.8	2.3535e-08	NaN	92.842	8.2151e-10	NaN
-2119.6	2.3529e-08	NaN	92.831	8.2199e-10	NaN
-2119.3	2.3523e-08	NaN	92.819	8.2245e-10	NaN
-2119.1	2.3518e-08	NaN	92.808	8.2291e-10	NaN
-2118.8	2.3513e-08	NaN	92.796	8.2336e-10	NaN
-2118.5	2.3509e-08	NaN	92.785	8.2381e-10	NaN
-2118.3	2.3505e-08	NaN	92.774	8.2425e-10	NaN
-2118	2.3502e-08	NaN	92.762	8.2468e-10	NaN
-2117.7	2.3499e-08	NaN	92.751	8.251e-10	NaN
-2117.5	2.3497e-08	NaN	92.739	8.2553e-10	NaN
-2117.2	2.3495e-08	NaN	92.728	8.2594e-10	NaN
-2117	2.3494e-08	NaN	92.716	8.2636e-10	NaN
-2116.7	2.3493e-08	NaN	92.705	8.2676e-10	NaN
-2116.4	2.3493e-08	NaN	92.694	8.2717e-10	NaN
-2116.2	2.3493e-08	NaN	92.682	8.2757e-10	NaN
-2115.9	2.3494e-08	NaN	92.671	8.2797e-10	NaN
