-2084.8	4.0398e-08	-1.3947	2.428e-07	1.9005
-2052.2	4.1765e-08	-1.6231	2.0719e-07	1.9291
-2019.6	1.0684e-07	-2.35	2.2707e-07	1.8266
-1987	2.2904e-07	-2.4887	2.9986e-07	1.8964
-1954.5	2.0057e-07	-2.6378	3.1586e-07	2.0004
-1921.9	1.8554e-07	-2.8695	3.5272e-07	1.8874
-1889.3	2.2622e-07	-2.7315	3.6409e-07	1.7416
-1856.7	8.6831e-08	-2.1455	5.1887e-07	1.6982
-1824.2	2.1276e-08	2.5736	4.9272e-07	1.6651
-1791.6	1.0854e-07	3.1127	5.0349e-07	1.6965
-1759	3.2256e-08	0.68827	8.4149e-07	1.7072
-1726.4	2.7636e-07	1.4293	9.6525e-07	1.7138
-1693.9	8.68e-10	0.87494	1.6531e-06	1.7318
-1661.3	6.0713e-07	1.7398	2.7382e-06	1.7072
-1628.7	8.4216e-06	2.7975	4.8212e-06	1.6087
-1596.2	1.8849e-05	-2.6721	8.5652e-06	1.7234
-1563.6	2.3116e-05	-2.1243	1.9538e-05	1.7975
-1531	4.0899e-05	-1.9738	3.5278e-05	1.9014
-1498.4	7.1679e-05	-1.5985	5.3524e-05	1.944
-1465.9	9.8521e-05	-0.74756	9.4e-05	2.0332
-1433.3	0.00025546	0.11449	0.00017405	1.9478
-1400.7	0.00061761	0.57369	0.00029266	1.966
-1368.1	0.0010193	0.84921	0.00041633	1.9593
-1335.6	0.0011688	1.0709	0.00047793	1.897
-1303	0.00090067	1.2915	0.00044221	1.8594
-1270.4	0.00040799	1.6142	0.00036549	1.6793
-1237.8	9.1064e-05	2.6483	0.00034952	1.6423
-1205.3	0.00036716	-2.2023	0.00040704	1.5031
-1172.7	0.0013437	-1.8241	0.00063884	1.3968
-1140.1	0.0027016	-1.644	0.0010685	1.3675
-1107.5	0.0040017	-1.5237	0.0015604	1.3988
-1075	0.0049961	-1.3932	0.0020022	1.4226
-1042.4	0.0052051	-1.2212	0.0022944	1.3554
-1009.8	0.0045765	-1.0435	0.0023774	1.3721
-977.24	0.0038807	-0.86484	0.0023227	1.4855
-944.66	0.0032796	-0.6081	0.0022341	1.5758
-912.09	0.002464	-0.25927	0.0020915	1.6294
-879.51	0.0016259	0.13028	0.0018619	1.6721
-846.94	0.001162	0.58272	0.0016552	1.6828
-814.36	0.0010596	1.106	0.0016349	1.6914
-781.79	0.0010374	1.614	0.0019113	1.7072
-749.21	0.00099802	1.9936	0.0025634	1.481
-716.64	0.00091133	2.1877	0.0034669	1.4315
-684.06	0.00072345	2.2337	0.0043754	1.398
-651.49	0.00050106	2.1437	0.0052409	1.4003
-618.92	0.00038052	1.9885	0.0060538	1.4206
-586.34	0.00031632	1.9206	0.0063874	1.3985
-553.77	0.00020654	1.9503	0.0059274	1.4525
-521.19	0.00010313	2.267	0.0051285	1.699
-488.62	0.00013898	2.9648	0.0049222	2.2374
-456.04	0.00036127	-2.9546	0.0054382	2.4057
-423.47	0.00068483	-2.8046	0.0066513	2.4642
-390.89	0.00079162	-2.7874	0.0085332	2.3268
-358.32	0.00049373	-2.6209	0.0093901	2.1492
-325.75	0.00040474	-1.6537	0.0088128	1.9161
-293.17	0.001442	-0.76212	0.0088635	1.1161
-260.6	0.0084022	-0.32088	0.010239	0.55434
-228.02	0.042881	-0.29563	0.013792	0.34267
-195.45	0.12261	-0.36841	0.021669	0.10834
-162.87	0.22318	-0.39075	0.025883	0.070665
-130.3	0.39298	-0.29476	0.022224	0.055226
-97.724	0.70853	-0.16191	0.052707	0.029056
-65.149	0.96425	-0.075723	0.074147	0.027053
-32.575	1	0	0.038963	0.034868
0	0.96473	0.099193	0.025394	0.031503
32.575	0.87853	0.16798	0.051661	0.028466
65.149	0.68925	0.16204	0.038592	0.026715
97.724	0.44247	0.088885	0.029101	0.033236
130.3	0.22043	-0.076151	0.02459	0.076931
162.87	0.089561	-0.44064	0.024302	0.13446
195.45	0.052002	-1.1089	0.01958	0.22544
228.02	0.067667	-1.6325	0.013994	0.2464
260.6	0.085063	-1.8137	0.01817	0.22738
293.17	0.075521	-1.8221	0.021718	0.23398
325.75	0.046817	-1.7382	0.016275	0.7313
358.32	0.019477	-1.5492	0.0073236	1.2023
390.89	0.0046501	-0.95803	0.0025806	1.3562
423.47	0.0050346	0.34535	0.0032177	1.4296
456.04	0.013837	0.78644	0.0053508	0.93684
488.62	0.021546	0.90317	0.0080668	0.82113
521.19	0.022916	0.91152	0.0087338	0.84128
553.77	0.018919	0.83919	0.0076352	0.91226
586.34	0.013818	0.67947	0.0061184	0.99041
618.92	0.010154	0.43197	0.0049154	1.0889
651.49	0.0080143	0.13266	0.0039284	1.2141
684.06	0.0067253	-0.18887	0.0031298	1.2795
716.64	0.0058165	-0.49772	0.0025992	1.332
749.21	0.004823	-0.77887	0.0022869	1.3499
781.79	0.0038099	-1.0432	0.0022473	1.435
814.36	0.0028446	-1.3088	0.0022468	1.4219
846.94	0.0020845	-1.6063	0.0021745	1.3235
879.51	0.0014896	-1.8894	0.0021234	1.3844
912.09	0.00084493	-2.1411	0.0021634	1.4685
944.66	0.00033426	-2.4408	0.0022401	1.4737
977.24	9.4837e-05	-2.9109	0.0022674	1.5006
1009.8	2.6996e-05	2.6347	0.0021513	1.4257
1042.4	9.1096e-06	1.7723	0.0018254	1.3356
1075	6.1872e-06	0.62942	0.0013606	1.3226
1107.5	6.4205e-06	0.11786	0.00088038	1.4364
1140.1	1.0405e-06	0.22854	0.00051244	1.6486
1172.7	2.9929e-06	2.3639	0.00041673	1.826
