-1548.7	6.3258e-09	-2.7266	3.6691e-06	1.8858
-1524.5	9.089e-08	-3.1315	3.6237e-06	1.8664
-1500.3	9.7888e-08	3.0526	3.2648e-06	1.8524
-1476.1	2.1604e-08	-2.4532	2.8901e-06	1.8419
-1451.9	1.3607e-07	-1.0656	3.0321e-06	1.9022
-1427.7	3.7471e-07	-0.70974	4.1175e-06	1.812
-1403.5	3.8961e-07	-0.41432	4.8433e-06	1.7668
-1379.3	1.0233e-07	-0.003089	4.7516e-06	1.7528
-1355.1	3.776e-08	2.5404	5.4211e-06	1.8596
-1330.9	4.0829e-07	-2.8667	7.349e-06	1.8555
-1306.7	1.4329e-06	-2.495	8.7881e-06	1.9056
-1282.5	2.6509e-06	-2.3173	9.5354e-06	1.9018
-1258.3	3.399e-06	-2.2004	1.3888e-05	1.9013
-1234.1	3.849e-06	-2.2309	2.0793e-05	1.9444
-1209.9	3.8604e-06	-2.5476	3.2455e-05	2.0364
-1185.7	4.9264e-06	3.1394	4.9712e-05	2.2254
-1161.5	1.1808e-05	2.6718	6.7959e-05	2.2359
-1137.3	3.1121e-05	2.4931	0.00010449	2.2546
-1113.1	6.8532e-05	2.5069	0.00016452	2.2446
-1088.9	0.00013546	2.666	0.00019745	2.1984
-1064.7	0.00026803	2.9565	0.00019845	2.1887
-1040.5	0.00060692	-2.9507	0.00032863	1.8768
-1016.3	0.0015571	-2.5915	0.0007948	1.5794
-992.13	0.0038402	-2.3105	0.001814	1.4157
-967.93	0.0078052	-2.0937	0.0033761	1.0901
-943.73	0.012432	-1.924	0.0048818	0.99728
-919.53	0.015012	-1.7993	0.0054311	1.0884
-895.34	0.014066	-1.7348	0.0049048	0.9426
-871.14	0.010237	-1.7495	0.003812	0.97654
-846.94	0.0062737	-1.8838	0.0026544	1.1622
-822.74	0.0035587	-2.2228	0.0020986	1.634
-798.54	0.0031753	-2.6985	0.0027856	2.4804
-774.35	0.0041207	-3.0391	0.0047915	2.7699
-750.15	0.0052623	3.0806	0.0079481	2.7536
-725.95	0.0056657	2.9917	0.011353	2.6866
-701.75	0.0054777	2.9209	0.013952	2.7523
-677.55	0.004785	2.8716	0.015264	2.8152
-653.35	0.0035669	2.8435	0.01525	2.7766
-629.16	0.002018	2.8412	0.014251	2.626
-604.96	0.00064456	2.8133	0.012943	2.4356
-580.76	2.2313e-05	1.8313	0.012055	1.6976
-556.56	0.00053744	0.031537	0.012468	1.0124
-532.36	0.0019527	-0.056882	0.015037	0.87918
