time	intensity	phase	power	power	bootstrap	bootstrap
-1120.563	1.42E-05	0	3.95E-06	0	6.36E-06	0
-1114.048	7.69E-06	0	5.18E-06	0	3.63E-06	0
-1107.533	4.25E-06	0	7.83E-06	0	4.62E-06	0
-1101.018	3.91E-06	0	1.21E-05	0	9.24E-06	0
-1094.503	5.42E-06	0	1.71E-05	0	1.87E-05	0
-1087.988	8.18E-06	0	2.16E-05	0	3.37E-05	0
-1081.473	1.27E-05	0	2.59E-05	0	4.49E-05	0
-1074.959	1.79E-05	0	3.12E-05	0	3.81E-05	0
-1068.444	2.23E-05	0	3.66E-05	0	2.75E-05	0
-1061.929	2.65E-05	0	4.02E-05	0	2.79E-05	0
-1055.414	3.21E-05	0	4.39E-05	0	3.63E-05	0
-1048.899	3.77E-05	0	5.04E-05	0	4.13E-05	0
-1042.384	4.16E-05	0	5.71E-05	0	7.64E-05	0
-1035.869	4.55E-05	0	6.51E-05	0	0.00015001	0
-1029.354	5.15E-05	0	8.04E-05	0	0.00013498	0
-1022.839	5.81E-05	0	8.74E-05	0	2.44E-05	0
-1016.324	6.37E-05	0	0.00010868	0	3.73E-05	0
-1009.81	7.05E-05	0	7.22E-05	0	1.15E-05	0
-1003.295	8.06E-05	0	0.00010536	0	5.55E-05	0
-996.7797	9.27E-05	0	0.00014803	0	0.00018245	0
-990.2648	0.000105407	9.184901	0.00015929	0	0.00023478	0
-983.7499	0.000121115	9.125478	0.00018982	0	0.00026947	0
-977.235	0.000142369	9.075118	0.00022833	0	0.00023288	0
-970.7201	0.000168047	9.025105	0.00027125	0	0.00024663	0
-964.2052	0.000197131	8.968007	0.0003212	0	0.00031685	0
-957.6903	0.000232462	8.91238	0.00038064	0	0.00038961	0
-951.1754	0.000276765	8.86507	0.00045085	0	0.00047045	0
-944.6605	0.000329243	8.818371	0.00053025	0	0.00056159	0
-938.1456	0.000389376	8.766406	0.00062074	0	0.00066489	0
-931.6307	0.000459892	8.715831	0.00072574	0	0.00078891	0
-925.1158	0.000542814	8.671548	0.00084343	0	0.00090564	0
-918.6009	0.000637192	8.627576	0.00096892	0	0.0010057	0
-912.086	0.00074256	8.579485	0.0011044	0	0.0011153	0
-905.5711	0.000860084	8.532113	0.0012543	0	0.0012599	0
-899.0562	0.00098936	8.488975	0.0014132	0	0.0014405	0
-892.5413	0.001128777	8.445633	0.0015723	0	0.0016394	0
-886.0264	0.001277835	8.398775	0.0017347	0	0.0018257	0
-879.5115	0.001435072	8.351963	0.0019066	0	0.0019856	0
-872.9966	0.001596876	8.307857	0.0020802	0	0.002144	0
-866.4817	0.001762015	8.263202	0.0022412	0	0.0022953	0
-859.9668	0.00193136	8.215511	0.0023983	0	0.0024304	0
-853.4519	0.002101157	8.167483	0.0025617	0	0.0025541	0
-846.937	0.002265377	8.121167	0.0027212	0	0.0027033	0
-840.4221	0.002425461	8.074086	0.0028644	0	0.002905	0
-833.9072	0.002585789	8.024327	0.0030002	0	0.0031104	0
-827.3923	0.002741421	7.973967	0.0031432	0	0.0032559	0
-820.8774	0.002885221	7.924588	0.0032831	0	0.0033432	0
-814.3625	0.003023021	7.874329	0.0034079	0	0.0034239	0
-807.8476	0.003163663	7.821827	0.0035303	0	0.0035337	0
-801.3327	0.003301138	7.768753	0.0036646	0	0.0036598	0
-794.8178	0.003427017	7.716345	0.0038003	0	0.003803	0
-788.3029	0.003550703	7.663305	0.0039251	0	0.0039634	0
-781.788	0.003684021	7.608779	0.0040525	0	0.0041234	0
-775.2731	0.003818717	7.554012	0.0041971	0	0.0042774	0
-768.7582	0.00394435	7.499798	0.0043484	0	0.0044302	0
-762.2433	0.00407289	7.445246	0.004495	0	0.0045657	0
-755.7284	0.004218339	7.389875	0.004651	0	0.0046922	0
-749.2135	0.004370615	7.334449	0.0048306	0	0.0048331	0
